"search_keyword_en","search_keyword_tc","image_url","author_en","author_tc","author_sc","author_url"
"Natural Amber","天然琥珀","","","","",""
"Nature Rough Yellow Agate","天然黃瑪瑙原石"
"Air Cooler","冷風機"
"Plan Chest","鋼圖則四桶櫃"
"Theodolites","經緯儀"
"Portable Meeting Amplifier","手提擴音機"
"Office Table","辦公枱"
"Cabinet","櫃"
"Firefighting Training Unit","滅火訓練用貨櫃"
"Fleet No. F422","泵車"
"Fleet No. F43","搶修車"
"Spare Wheel and Tyre","後備輪胎"
"Fleet No. F420","泵車"
"Panasonic UG 5575","空碳粉匣"
"Kyocera TK 1177","空碳粉匣"
"Kyocera TK 6309","空碳粉匣"
"Kyocera TK 7109","空碳粉匣"
"Kyocera TK 5219K","空碳粉匣"
"Kyocera TK 5219C","空碳粉匣"
"Kyocera TK 5219M","空碳粉匣"
"Kyocera TK 5219Y","空碳粉匣"
"HP Laserjet 80A","空碳粉匣"
"HP Laserjet 80X","空碳粉匣"
"HP Laserjet CF280XC","空碳粉匣"
"HP Laserjet 26A","空碳粉匣"
"HP Laserjet 26X","空碳粉匣"
"HP Laserjet CF226XC","空碳粉匣"
"HP Laserjet CE400A","空碳粉匣"
"HP Laserjet CE401A","空碳粉匣"
"HP Laserjet CE402A","空碳粉匣"
"HP Laserjet CE403A","空碳粉匣"
"HP Laserjet CE270A","空碳粉匣"
"HP Laserjet CE271A","空碳粉匣"
"HP Laserjet CE272A","空碳粉匣"
"HP Laserjet CE273A","空碳粉匣"
"HP Laserjet CB540A","空碳粉匣"
"HP Laserjet CB541A","空碳粉匣"
"HP Laserjet CB542A","空碳粉匣"
"HP Laserjet CB543A","空碳粉匣"
"HP Laserjet CF359A","空碳粉匣"
"HP Laserjet CF364A","空碳粉匣"
"HP Laserjet CF365A","空碳粉匣"
"HP Laserjet CF310A","空碳粉匣"
"HP Laserjet Q5949X","空碳粉匣"
"SAMSUNG ML-D3470A/SEE","空碳粉匣"
"EPSON Toner Cartridge 0614","空碳粉匣"
"EPSON Ribbon Cartridge 7753","空碳粉匣"
"Radar with Monitor","雷達連顯示器"
"Jet Ski [LCSD","小型噴射快艇"
"Inboard Engine","舷內發動機"
"Trolley","車架"
"Glass Reinforced Plastic","玻璃纖維製充氣橡皮艇"
"Paddies Retainer","拉索"
"Boarding Ladder","小型繩梯"
"Sea Anchor with Rope","海錨連繩"
"Repair Kit","維修工具"
"Rescue Quoit and Line","救生環連繩"
"Portable Search Light","手提射燈"
"Compass","羅盤"
"Pressure Gauge","氣壓計"
"Empty Fuel Can","空電油桶"
"Overall Cover","遮擋套"
"Spare Propeller","備用螺旋槳"
"Voltmeter","電壓表"
"Centre Console with Steering Wheel","操控台連方向盤"
"Combined Hand/Foot Bellow","手動氣鼓"
"Removable Mast with Navigation Light","可移除桿連航行燈"
"Extra Rubbing Strake Fender","護舷墊"
"HP CE411AC","空碳粉匣"
"HP CE410XC","空碳粉匣"
"HP CE412AC","空碳粉匣"
"HP CE413AC","空碳粉匣"
"HP CF361XC","空碳粉匣"
"HP 48A","空碳粉匣"
"HP CF248A","空碳粉匣"
"HP CF360XC","空碳粉匣"
"HP CF362XC","空碳粉匣"
"HP CF363XC","空碳粉匣"
"HP Q2613A","空碳粉匣"
"Kyocera TK-594C","空碳粉匣"
"Kyocera TK-594K","空碳粉匣"
"Kyocera TK-594M","空碳粉匣"
"Kyocera TK-594Y","空碳粉匣"
"HP Q2612AC","空碳粉匣"
"HP C7115X","空碳粉匣"
"HP C9700A","空碳粉匣"
"HP C9701A","空碳粉匣"
"HP C9702A","空碳粉匣"
"HP C9703A","空碳粉匣"
"HP CE314A","空碳粉匣"
"HP Q6000A","空碳粉匣"
"HP Q60001A","空碳粉匣"
"HP Q6002A","空碳粉匣"
"HP Q6003A","空碳粉匣"
"Toshiba T-2450D-S","空碳粉匣"
"Toshiba T-FC415PK","空碳粉匣"
"Expired Imaaging Drum","過期感光鼓"
"Expired Imagine Drum","過期感光鼓"
"Expried Tone Cartridge","過期碳粉匣"
"Waste Toner Collector","碳粉收集盒"
"Medical Freezer","醫療用雪櫃"
"Optical Microscope","光學顯微鏡"
"Grinder","研磨器"
"Thermal Cycler","熱循環儀"
"Heat Block","加熱器"
"Sieve","篩子"
"Blood Analyzer","血液分析儀"
"Blood Analyzer Accessory","血液分析儀配件"
"Ozone Generator","臭氧製造機"
"Thermal Printer","熱感打印機"
"Gel Imaging System","凝膠成像系統"
"Oxidation-Reduction Potential Controller","氣化還原電位計"
"Microscope Camera","顯微鏡相機"
"Wide-Angle Converter","廣角鏡"
"Microscope Lens","顯微鏡鏡頭"
"Probe Extension Cable","探頭延長線"
"Chloride Probe","氯探頭"
"Probe Multimeter","探頭儀"
"Sounder Depth Meter","聲納深度計"
"pH Probe","pH探頭"
"Temperature/Conductivity Probe","溫度/導電探頭"
"Dissolved Oxygen Probe","溶氧探頭"
"Global Positioning System Device","定位器"
"Fume Hood","抽風櫃"
"Thermohygrograph","溫濕計"
"Gas Chromatograph","氣相色譜儀"
"Mass Selective Detector","質譜儀"
"Inert Mass Spectrometer Detector Electronics","惰性質量檢測器電子零件"
"Auto Sampler","自動進樣器"
"Auto Sample Injection Machine","自動樣本注射器"
"Mercury Analyzer","汞分析儀"
"Pump","泵"
"Recorder","記錄儀"
"Gas Regulator","氣體調壓器"
"Heating Mantle","電熱爐"
"Post Column Reaction Machine","柱後反應器"
"Temperature Module","溫度控制器"
"Ultrasonic Cleaner","超音波清洗器"
"Circulator Water Bath","循環水浴"
"3-Head Configuration Cassette Tape Deck with Remote Control","3頭配置盒式磁帶機連遙控器"
"Speaker","擴音箱"
"Simultaneous Interpretation System","即時翻譯器材"
"Eight Channel Simultaneous Interpretation System Receiver","八頻道翻譯接收器"
"Sound Control System","音效控制器材"
"Interpretation and Communication Equipment","翻譯通訊器材"
"Interpretation Equipment Interface","翻譯器材界面"
"Amplifier","擴音器"
"Audio Generator","音頻產生器"
"Video Camera","錄像相機"
"Video Presenter","實物投影機"
"Video Recorder","錄影機"
"Double Cassette Tape Recorder","雙盒式磁帶錄音機"
"Double Cassette Tape Speaker","雙盒式磁帶揚聲器"
"DVD Player","影碟播放機"
"Stainless Steel Trolley","不鏽鋼籠車"
"Switch","網路交換器"
"Cassette Tape Recorder","卡式錄音機"
"Double Bass","低音提琴"
"Bass Drum","低音鼓"
"Banhu","板胡"
"4/4 Size Cello with German Strings","大提琴"
"Sheng","36音笙"
"Zhong Ruan","北京中阮"
"Balance Beam","平衡木"
"Balance Beam","矮平衡木"
"Parallel Bars","雙槓"
"CD Duplicator","光碟複製機"
"DLP Projector","數位投影機"
"Mat Trolley","垂直安全地墊車"
"Electronic Scoreboard","電子計分牌"
"Volleyball Posts with Pulley System","帶滑輪系統排球柱"
"Health Scale","人體磅"
"Drawing Cutting Kit","繪圖切割機"
"Ammeter","安培計"
"Signal Generator","訊號產生器"
"Card Printer","卡片打印機"
"Multimedia Projector with Accessory Pack","投影機連配件"
"Digital Video Camera","攝錄機"
"Camcorder","攝錄機"
"Digital Camcorder","攝錄機"
"MD Player","光碟播放機"
"Electric Pump","電泵"
"DVD/MD/Micro Hi-Fi System","光碟音響組合"
"Production Mixer","混音器"
"Infrared Handheld Type Microphone","紅外線無線麥克風"
"Preamplifier Mixer","混音前置擴音器"
"2-way Speaker","二路揚聲器"
"2-1/4"" Round Button Machine","襟章機"
"Soloist Junior Marimba","低音木琴"
"Cello Set Eby-Fingerboard","大提琴黑木指板"
"Bongo","邦哥鼓"
"DVD/CD Player","光碟播放機"
"Walkie-Talkie","對講機"
"3"" LCD Monitor with 19"" Rack-Mount Kit","液晶顯示器連裝配架"
"Wireless Speaker","無線揚聲器"
"Tape Autoloader","磁帶自動裝卸機"
"Convector Heater","電暖爐"
"TV Hanger","電視吊架"
"Glass Table","玻璃檯"
"Wet Vacuum Cleaner","吸水機"
"Display Board","展板"
"Time Recorder","打卡機"
"Dehumidifier","抽濕機"
"Mosquito Killer","滅蚊機"
"Portable Amplifier with Wireless Handheld Microphone","可攜帶式音箱連無線麥克風"
"Portable Amplifier","可攜帶式音箱"
"Digital Video Recorder Network","網絡錄影機"
"Day/Night High Definition Dome Camera","高解像度日/夜半球型攝像機"
"Digital Video Server","數碼視像伺服器"
"Ice Machine","製冰機"
"Garden Mower Tractor","剪草車"
"Backpack Brushcutter","背囊式除草機"
"Tree Pruner","修樹剪"
"Semiautomatic Defibrillator","半自動體外心臟除顫器"
"Handheld Metal Detector","手提金屬探測器"
"Shoe Polishing Machine","皮鞋抛光器"
"Automated External Defibrillator","自動體外心臟去顫器"
"Full Color LED Screen","全彩色屏幕"
"Board","室内顯示屏"
"Audio-Video Splitter","音視頻選擇分配器"
"Audio-Video Selector","音視頻切換器"
"Splitter","分配器"
"Switch","切換器"
"Distributor","多路系統分配器"
"Video Cable","視頻電纜"
"Audio Cable","音頻電纜"
"Audio-Video Cable","音視頻電纜"
"Television Antenna Cable","電視天線電纜"
"Plug","插頭"
"Local Area Network Cable","網路線"
"Television Antenna Splitter","電視天線分配器"
"Audio-Video Splitter","音視頻分配器"
"Audio-Video Adapter","音視頻變壓器"
"Alternating Current Power Cord with IEC 60320 C13 Connector","交流電源線及連接器"
"Alternating Current Power Cord with IEC 60320 C7 Connector","交流電源線及連接器"
"Set-top Box Line","解碼器線"
"Remote Control","搖控器"
"Stereo Radio Cassette Recorder","立體聲收音錄音機"
"Audio Power Amplifier","擴音機"
"Digital Audio Broadcasting+/FM & Digital Television Receiver","數碼聲音廣播+/FM及 數碼電視接收器"
"Video Timer","影像計時器"
"Stereo AM/FM Digital Tuner","AM/FM立體聲數碼調諧器"
"6 Sockets Extension Unit","6插頭拖板"
"1 Socket Extension Unit","1插頭拖板"
"3 Sockets Extension Unit","3插頭拖板"
"10 Sockets Extension Unit","10插頭拖板"
"3-pin Adapter","3腳萬能插蘇"
"4 Sockets Extension Unit","4插頭拖板"
"Alternating Current Adapter","火牛"
"Television Trolley","電視手推車"
"Film Camera with Standard Lens","菲林相機連標準鏡頭"
"Flash Meter","測光表"
"F4 lens","F4鏡頭"
"Film Back","菲林背"
"Sky Light Filter","濾光鏡片"
"Automatic Extension Tube","相機自動延伸管"
"Grid Lines Focus Screen","格線對焦屏片"
"Skylight Filter","濾光鏡片"
"Tripod Head","雲台三腳架"
"Camera Grip","相機手抦"
"Camera View Finder","相機觀景器"
"Automatic Extension Tube","自動伸延管"
"Camera Back","相機底背"
"Focusing Screen","對焦屏片"
"Shutter Cable","快門線"
"Filter","濾鏡片"
"Polariod Film Back","寶麗來菲林盒"
"Fuji Xerox CT 201938","空碳粉匣"
"Panasonic UG5575","空碳粉匣"
"Fujixerox CT201938","空碳粉匣"
"Fujixerox 113R00684","空碳粉匣"
"Fujixerox CT201160","空碳粉匣"
"Kyocera TK8525","空碳粉匣"
"Kyocera TK3114","空碳粉匣"
"Lexmark E360H11P","空碳粉匣"
"Lexmark 523HE","空碳粉匣"
"Samsung MLT-D205L","空碳粉匣"
"Samsung MLT-D203L","空碳粉匣"
"HP CF280X","空碳粉匣"
"HP CE505XC","空碳粉匣"
"HP CB383AC","空碳粉匣"
"HP CB381AC","空碳粉匣"
"Panasonic DQ H360R Imaging Drum","已用感光鼓"
"Panasonic DQ TU33R","空碳粉匣"
"Ricoh MP-4500S","空碳粉匣"
"Multi-Master","多用途三角打磨切割器"
"Indoor Antenna Signal Receiver","室內天線信號接收器"
"16-Channel Video Encoder","16路視頻編碼器"
"Flat Panel Antenna","平板天線"
"Dish Antenna","碟形天線"
"Antenna Receiver","天線接收器"
"Video Encoder","視頻編解碼器"
"Cellular Terminal","固定蜂窩終端"
"Telescopic Antenna","伸縮天線"
"Antenna","室外天線"
"Encapsulated Switch Mode Power Supply","封裝開關電源"
"Power Supply Unit","電源供應器"
"Power Supply","雙軌直流電源供應器"
"Data Interface Unit","數據連接器"
"Public Address Amplifier Speaker","功率放大器揚聲器"
"Wireless Audio System","無線音頻系統"
"Radio Transceiver","無線對講機"
"Cross-cut Shredder","碎紙機"
"Digital Video Camera","數碼攝像機"
"Stand for Bar-code Scanner","條碼掃描器底座"
"Bar-code Scanner","條碼掃描器"
"Chinese Input Writing Tablet","手寫板"
"Electronic Sealing Wax Heater","電子密蠟加熱器"
"Tea Urn","茶炊"
"Electronic Typewritwer","電動打字機"
"Video Cassette Recorder","卡式錄像機"
"Rechargeable Battery","充電池"
"Indoor Wireless Telephone","室內無線電話"
"External CD Writer","外置光碟機"
"Electric Projector Screen","電動投影屏幕"
"Mixing Amplifier","混音放大器"
"Digital Recorder","數碼記錄器"
"Tyre","輪胎"
"Bluetooth Pocket PC","藍牙掌上電腦"
"Photocopier without Harddisk","影印機"
"Wooden Computer Rack","電腦木架"
"Typewriter","打字機"
"Wooden Rectangular Table","木長方型檯"
"Wooden Rectangular Table with Two Drawers","木長方型檯"
"Tracing Paper 93-95 grams per square meter","描圖紙"
"Multistory Computer Table","多層電腦檯"
"Machine Paper Shredding","碎紙機"
"Hydraulic Folding Dining Table","油壓摺合餐檯"
"Wireless Lavalier Microphone System with Microphone","無線麥克風系統連麥克風"
"Network Video Recorder with 4 Waterproof Cameras and 4TB Harddisk","網絡錄影機"
"Wooden Computer Table","木檯"
"Camera with EF 24-27mm F/4L IS USM Lens Kit","相機"
"Camera with Canon PF 24-240MM F4-6.3 IS USM Lens","相機"
"Camera with XF16-80mm f/4 Lens and Kit Set","相機"
"Curtain","窗簾"
"Glass Whiteboard","玻璃白板"
"Digital Door Lock 2 Way","門鎖"
"LCD Projector","投影機"
"Camera Mini Drone with Accessories Package","航拍機"
"Water Purifier","濾水器"
"Duplicator","速印機"
"Duplicator with Stand","速印機"
"Vehicle","豐田客車"
"Share Tyre","豐田客車"
"Wrist Chain","舊手鏈"
"Ring","舊戒指"
"Necklace","舊頸鏈"
"Golden Pendant","舊金色吊墜"
"Haberdashery","洋雜"
"Plasticware","塑膠器皿"
"Underwear","內衣物"
"Computer Accessory","電腦配件"
"Silver Bricks","銀磚"
"Palladium Plates","鈀板"
"Gold Accessories","金飾"
"Skip","環保斗"
"Gold Slabs","金板"
"Ventilation Fan","抽氣扇"
"Toaster","多士爐"
"Shaver","鬚刨"
"Grill","燒烤爐"
"Water Boiler","熱水煲"
"Juicer","榨汁機"
"Ice-cream Making Machine","雪糕機"
"Game Console","遊戲機"
"Hair Removal Machine","除毛機"
"Iron","燙斗"
"Whisk","打蛋器"
"Electronic Book","電子閱讀器"
"Electric Drill","電鑽"
"Television Set-top Box","電視機頂盒"
"Electric Sewing Machine","縫紉機"
"Keyboard","鍵盤"
"Horse-like decoration item","馬型裝飾品"
"Electric Heater","暖爐"
"Grill","烤爐"
"Electric Water Boiler","電熱水煲"
"Statue","雕像"
"Safe-like Toy","玩具夾萬"
"Buddha Statue","佛像擺設"
"Human-like Wood Statue","人型木像"
"Table Lamp","檯燈"
"Gamepad","遊戲手制"
"Aluminum Ladder","鋁梯"
"Cooker Stove","煮食爐"
"Hand Pushing Chair","手推椅"
"Water Heater","熱水煲"
"Small Massager","小型按摩器"
"Blood Pressure Thermometer","血壓計"
"Electronic Pound","電子磅"
"Calculator","計數機"
"Table Light","檯燈"
"Heater","暖爐"
"Split-type Air-conditioner","分體式冷氣機"
"Table Top Cooker","煮食爐頭"
"Thermo Ventilator","浴室寶"
"DVD Player with Speaker","DVD播放機連揚聲器"
"Vase","花瓶"
"Clock","時鐘"
"Gas Cooker","氣體煮食爐"
"Iron","電熨斗"
"Television with Remote Control","液晶體電視機連搖控器"
"Gold Ring","金戒指"
"Gold Colour Chain","金色鏈"
"Gold Colour Medal","金色襟章"
"Green Colour Accessory","綠色飾物"
"Green Colour Ring","綠色戒指"
"Green Colour Bangle","綠色手鐲"
"Green Accessory","綠色飾物"
"Green Colour Pendant","綠色吊墜"
"Wooden Accessory","木裝飾物"
"Electric Shaver","電鬚刨"
"Electric Clock","電子鐘"
"Alarm Clock","鬧鐘"
"Orange Colour Pendant","橙色吊飾"
"Silver Colour Earring","銀色耳環"
"Silver Colour Chain","銀色鏈"
"Porcelain Accessory","瓷裝飾物"
"Green Colour Pendant","綠色吊飾"
"Gold Colour Accessory","金色飾物"
"Green Colour Chain","綠色手鏈"
"Maroon Colour Chain","褐色手鏈"
"Black Colour Chain","黑色手鏈"
"Silver Colour Ring","銀色戒指"
"Electric Skin-care Device","電美容儀器"
"Set-top Box","機頂盒"
"Purple Colour Accessory","紫色飾物"
"Yellow Colour Ring","黃色戒指"
"Blue Colour Ring","藍色戒指"
"Torch","電筒"
"Table Top Cooker","煮食爐"
"Waste Toner Bottle","廢棄碳粉瓶"
"Potion Dispenser","藥水分配器"
"Laser Barcode Scanner","標籤讀取機"
"Osmometer","滲透壓檢測儀"
"Electrolyte Analyzer","電解質檢測儀"
"Laboratory Pump","實驗室泵"
"Drum Roller","滾筒機"
"Temperature Recorder","溫度記錄儀"
"Temperature Humidity Recorder","溫度濕度記錄儀"
"Conductivity Meter","電導率計"
"Digital Temperature Data Logger","溫度數據記錄機"
"Carbon Dioxide Regulator","二氧化碳調節器"
"Growth Incubator","生長培養櫃"
"Paddle","槳"
"Folding Achor","折疊錨"
"Empty Fuel Tank","空油桶"
"Motor Flusher","沖洗器"
"Towing Bridle","拖帶"
"Infra-red Beacon with Conventional Flasher","紅外線閃光燈"
"Retainer","拉索"
"Small Achor","小錨"
"Sea Anchor","海錨"
"Mooring Line","停泊繩"
"Tachometer","轉速計"
"Volmeter","電壓表"
"Glass Reinforced Plastic","玻璃纖維製船"
"Pilot Seat","駕駛座位"
"Navigational Light","航行燈"
"Bilge Pump with Auto or Manual Feature","自動或手動艙底泵"
"Portable Spotlight","手提射燈"
"Diver Ladder","潛水梯"
"Galvanized Anchor","鍍鋅錨"
"Remote Controlled Spotlight","遙控射燈"
"Electric Air Horn","電風喇叭"
"Helm Seat","駕駛座位"
"Strobe Red Light","閃紅燈"
"Automatic Bilge Pump","自動艙底泵"
"Search Light","射燈"
"Steering Console","轉向控制台"
"Twin Throttle Shift Control Lever","雙油門換檔控制桿"
"Signal Anchor Light with 2m Stand","信號錨燈連2米支架"
"Wiper with Screen Washer","刮水器連噴水清洗機"
"Folding Canvas Cover","折疊帆布蓋"
"Petrol Filter","汽油濾清器"
"Hydraulic Steering","液壓轉向"
"Stainless Steel Flag Staff","不銹鋼旗桿"
"Horn Speaker","喇叭"
"Air Horn Set","氣喇叭套裝"
"Life Buoy","救生圈"
"Life Jacket","救生衣"
"First Aid Box","急救箱"
"Aluminum Alloy Catamaran [LCSD","鋁合金雙體船"
"Hand Oar","槳"
"Foot Pump","腳踏泵"
"Flood Light","泛光燈"
"Life Buoy with Light","帶燈的救生圈"
"Anchor Winch with Foot Control and Remote","錨絞盤帶腳控和遙控器"
"20 Meters of 8mm Chain Link","20米8毫米鏈條"
"Circulating Fan","循環扇"
"Electric Horn","電喇叭"
"GPS Plotter","全球定位系統"
"Depth Sounder","測深儀"
"Windscreen Wiper","擋風玻璃雨刮器"
"Electric Davit","電動吊艇架"
"Generator Set","發電機組"
"Hydraulic Steering Assembly","風油軚"
"Radar with Scanner","雷達連掃描儀"
"DGPS with Antenna","定位系统帶天線"
"Loudhailer with Speaker","擴音機"
"Wind Speed and Direction Monitor","船用風速風向儀"
"Windscreen Wiper","擋風玻璃雨刷"
"Cassette Radio with Antenna","卡式收音機帶天線"
"Electric Horn","電笛"
"Navigation Light","航行燈"
"Stainless Steel Steering Wheel","不鏽鋼方向盤"
"Diver Boarding Ladder","潛水梯"
"Tank Dive Bottle Rack","潛水氣樽架"
"Davit System","吊艇架系統"
"Cockpit Shower","駕駛艙淋式花灑"
"Fish Livewell","魚倉"
"Deck Floodlight","甲板燈"
"Fold Down Seat","折疊座椅"
"Manual Bilge Pump","手動標止泵"
"Fan 12V","風扇"
"Bunk Mattress","床墊"
"Lightning Rod","避雷針"
"Electric Windlass","電起錨機"
"Lifejacket","救生衣"
"Dive Flag","潛水旗"
"Red Handheld Distress Flare","紅色求助照明彈"
"Anchor","錨"
"Anchor Chain","錨鏈"
"Mooring Line","繫泊索"
"Search Light","流動搜查射燈"
"Hose to Engine Flush Connector","軟管至發動機沖洗接頭"
"Fly Screen","防蠅紗"
"Portable Loud Hailer","便攜式擴音器"
"Remote Controller","遙控器"
"Winch Handle for Windlass","錨機絞盤手柄"
"Flexible Pipe","彈性喉管"
"Boat Hook","船鉤"
"Portable Fender","便攜式防撞泡"
"Storage Rack","儲物架"
"Wireless Megaphone System","無線擴音器"
"Yangqin","揚琴"
"Zhongruan","中阮"
"36-tube Alto Paisheng","36管中音排笙"
"Trombone","長號"
"36-note Dousheng","36音斗笙"
"Infra-red Automatic Embossing Seal","紅外線自動凹凸鋼印機"
"Keyboard","電子琴"
"Instant Water Boiler","桌上型温熱水機"
"Metal Cart for Jumping Mat","垂直高身墊車"
"Network Device Fan","網路設備風扇"
"CD Writer","光碟燒錄機"
"70"" Electric Screen","70吋電動屏幕"
"85"" Electric Screen","85吋電動屏幕"
"Wireless Receiver","無線收音器"
"Sliding Door Steel Cabinet","趟門鋼櫃"
"Filing Cabinet","抽屜文件櫃"
"Upper Window/Lower Sliding Door Steel Cabinet","上層玻璃/下層趟門鋼櫃"
"Steel Storage Rack","儲物鋼架"
"Feedback Exterminator","噪音消除器"
"Folding Table with Front Panel and Wheels","有轆摺疊桌"
"Steel Plan Chest","圖則鋼櫃"
"Mosquito Exterminator","滅蚊器"
"Electric Stapling Machine","電動裝訂機"
"Document Camera","實物投影機"
"Desktop Corner Cutter","座檯紙角切割器"
"Auto-boiler","自動熱水罉"
"Compact System","音響系統"
"Xylophone","木片琴"
"Suction Machine","抽痰器"
"Ultra Violet Lamp","紫外線燈"
"Electrocardiography Machine","心電圖機"
"Spirometer","肺活量計"
"Table Top Sterilizing Steam Oven","消毒蒸氣焗爐"
"Dehumidifier","空氣抽濕機"
"Portable Overhead Projector","投影器"
"Amalgamator","銀汞調和機"
"Elastomer Mixing Machine","印模材料混合機"
"Alginate Mixing Machine","海藻酸鹽混合機"
"Light Cure Unit","光固化機"
"X- Ray Film Processor","X光沖菲林機"
"Expired Recycled Toner Cartridge","過期環保碳粉匣"
"Moisture Meter","濕度測量器"
"Transparent Plastic Box","透明可摺膠盒"
"Facsimile Machine with Accessories","傳真機連配件"
"Fleet No. F421","泵車"
"Fleet No. F694","後備重型泵車"
"Fleet No. F787","喉車"
"Fleet No. F445","司落高"
"Fleet No. F561","第一截擊車"
"Outer Tyre","外輪胎"
"Battery Charger","電池充電機"
"Lifting Bag Testing Kit","氣墊袋測試儀"
"Dual Control Safety Unit","雙重控制安全單位"
"Braided Air Hose","編織空氣軟管"
"LaserJet Printer","鐳射打印機"
"Vaulting Buck","鐵腳鹿"
"Vaulting Horse","鐵腳鞍馬"
"Tennis Post","網球柱"
"Tennis Ball Machine","電動網球發球機"
"Fiberglass Basketball Backboard","玻璃纖維籃球板"
"Stainless Steel Ball Cart","不銹鋼球車"
"Cold Water Pressure Washer","冷水高壓清洗機"
"Single-Disc Machine Power Cleaner","單盤洗地機"
"Outdoor Mosquito Killer","戶外滅蚊機"
"Indoor Photocatalyst Mosquito Killer","室內環保光觸媒滅蚊機"
"Stainless Steel Retractable Belt Barriers","不銹鋼伸縮欄杆"
"Electric Steam Oven","電蒸爐"
"Digital Camera Kit","數碼相機套裝"
"Speedlight Unit","閃光燈"
"External DVD-Writer","外置光碟機"
"Hard Carrying Case for Digital Camcorder","數碼攝錄機專用儲存盒"
"Barcode Printer","條碼打印機"
"Micro Projector","微型投影機"
"Floor Blower with Hand-held","手拉式吹風機"
"Apparatus Trolley","儀器手推車"
"Electronic Balance","電子秤"
"Gas Cylinder Trolley","運送氣樽手推車"
"Electric Auto-Boiler","電熱水罉"
"Bulletin Case","不銹鋼告示箱"
"Paper Cutter","切紙刀"
"Wimsburst Machine","溫斯赫斯特機"
"Cooker with Oven","煮食爐連焗爐"
"Digital Screw Cutting Machine","數控鑼床"
"Digital Milling Machine","數控車床"
"Circular Saw","風車鋸"
"Grinding Machine","磨刀機"
"Bandsaw Machine","帶鋸床"
"Flight Case","設備防護箱"
"UV Water Sterilizer System","紫外線殺菌濾水器系統"
"Aluminum Frame Outdoor Tent","鋁框戶外活動帳蓬"
"Extra High Voltage Power Supply Unit 5KV","超高電壓供電器"
"Timer Scaler & Frequency Meter","定時定標頻率計"
"Micro Galvanometer","微電流計"
"Extra High Voltage Power Supply Unit","超高電壓供電器"
"Book Rack","雙面書架"
"Water Heater","熱水器"
"Steel Office Desk","寫字鋼檯"
"Upright Piano","直立式鋼琴"
"Saxophone","色士風"
"Balance","槓桿天秤"
"Balance","機械天秤"
"Balance","三幹機械天秤"
"Pressure Cooker","氣壓煲"
"Monocular Microscope","單目顯微鏡"
"Dissecting Microscope","解剖顯微鏡"
"Accessories for Binocular Microscope","雙目顯微鏡配件"
"Binocular Microscope","雙目顯微鏡"
"Colour Video Camera for Microscope","顯微鏡彩色錄影相機"
"Balance","電子磅"
"Digital Camera for Microscope","顯微鏡數碼相機"
"Channel Datalogger","數據記錄儀"
"Carbon Dioxide Gas Sensor","二氧化碳氣體傳感器"
"Oxygen Gas Sensor","氧氣傳感器"
"Colorimeter","顏色對比器"
"Dissolved Oxygen Sensor","溶解氧傳感器"
"Vernier's Datalogger","游標數據記錄儀"
"Conductivity Probe","導電率探示器"
"Monocular Compound Microscope","復合單目顯微鏡"
"Low Voltage Power Supply","低壓電源"
"Video Microscope System","視頻顯微鏡系統"
"Video Camera Recorder","視頻攝影機"
"Portable Digital Camcorder","手提數碼攝影機"
"Camera Flash Light","相機閃光燈"
"Camera Charges Kit","相機充電器"
"Camera Lens","相機鏡頭"
"Camera Filter Lens","相機濾鏡"
"Bluetooth Microphone","藍牙麥克風"
"20"" Surdos","20吋鼓"
"Trumpet with Case","小號連盒"
"Flute","長笛"
"Clarinet","單簧管"
"Alto Saxophone","中音色士風"
"23"" Timpani","23吋定音鼓"
"Baritone Saxophone","上低音色士風"
"Mouthpieces for Baritone Saxophone","色士風吹咀"
"Tenor Saxophone Neck","色士風頸位"
"Mercurial Sphygmomanometer with Stethoscope","水銀血壓計連聽筒"
"External Hard Disk","外置硬盤"
"Monitor Colour Calibration Tool","顯示器色彩校準器"
"Digital Video Recorder","數碼錄影機"
"DVD Player","數碼光碟播放機"
"VCD Player","影音碟播放機"
"White Electric Wall Screen","白色電動牆屏"
"Box Fan 12""","12吋風扇"
"Electric Stapler","電動訂書機"
"Stainless Steel Electric Tea Urn","不銹鋼電水煲"
"Paper Counter","紙張計算器"
"4-in-1 Fan","四合一風扇"
"Electric Binding Machine","電動釘裝機"
"Cash Register","收銀機"
"Sealing Machine","封口機"
"Disburser","付款機"
"Protectograph Cheque Writer","支票壓碼機"
"Franking Machine","郵資蓋印機"
"Electronic White Board","電白版連架"
"Cradle for Bar-coding File Management System","條碼文件管理系統插座"
"Portable Data Terminal for Bar-coding File Management System","手提條碼文件管理機"
"Barcode Scanner","條碼素描機"
"Barcode Scanner for Bar-coding File Management System","條碼素描機"
"Differential Global Positioning System","差分全球定位系統"
"Kyocera FK-8500 Fuser Kit","定影器套件"
"Lexmark 50F0Z00 Imaging Drum","感光鼓"
"HP Q3675A Transfer Kit","轉印套件"
"HP CB459A Roller Kit","滾輪套件"
"HP CB463A Transfer Kit","轉印套件"
"HP CB458A Fuser Kit","定影器套件"
"HP CB384A Image Drum","感光鼓"
"HP CB385A Image Drum","感光鼓"
"HP CB386A Image Drum","感光鼓"
"HP CB387A Image Drum","感光鼓"
"Kyocera MC-8720 Main Charger Unit","主充電器"
"Lexmark 50F3H00","空碳粉匣"
"HP CE505A","空碳粉匣"
"Panasonic UG3313","空碳粉匣"
"HP CE505X","空碳粉匣"
